Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Imports of goods and services (BoP, current US$)",1630025882.69605,1620986635.39218,1514454599.65737,2002348117.94111,2530477805.18387,2694956234.98956,2973229935.66933,3613945446.26635,4684776470.92454,5058196939.03927,5869022571.93034,6251688582.07664,7027897692.63615,6879559519.83486,7637856379.39764,7031650314.91915
"Primary income payments (BoP, current US$)",226228168.64223,268715250.337158,122075039.157352,53552252.1531807,212129011.778231,352566336.049132,318869259.481269,435607610.837892,474167003.789198,395857170.02126,596213009.717942,461343971.769699,905027783.923425,373551433.482722,443676921.543389,361954281.218051
"Communications, computer, etc. (% of service imports, BoP)",42.544412312063,39.2880369609975,35.6594785648442,33.0578479188622,33.5875330387424,30.0938255134227,32.2614118264659,21.1586539136918,36.6412657929115,65.5645283078275,67.844550007214,65.5217600942908,59.5688987664047,69.7712921497395,70.0859183901007,69.5183257289708
Trade in services (% of GDP),12.8817267490937,15.8783461997835,15.1957248808868,14.3558846001318,13.8191345425102,10.9723152277532,12.1847185605405,12.7099886227723,13.4324067990982,13.2555586055931,12.2448910573753,12.0285371982837,11.6632380353768,10.426743998328,14.7041076687993,13.3779873658566
Cereal yield (kg per hectare),391.2,440.9,270.8,301.5,418.3,465.6,620.5,481.3,495.5,364.8,405,427.5,431.1,458.7,229.1,392
Surface area (sq. km),824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290
Livestock production index (2004-2006 = 100),87.44,88.86,86.09,89.65,93.56,106.81,99.63,100.74,85.73,87.5,84.18,81.92,83.34,84.32,83.64,83.41
Food production index (2004-2006 = 100),84.05,86.52,83.91,87.7,93.92,103.96,102.11,101.66,89.44,91.12,90.24,89.09,91.4,89.62,91.1,91.75
Crop production index (2004-2006 = 100),76.29,81.09,78.61,83.05,96.37,95.24,108.4,102.23,100,100.08,105.54,107.1,115.36,106.32,115.22,118.49
Cereal production (metric tons),120979,121744,87998,97334,127535,129138,186008,116183,112580,111738,118358,118339,165800,86600,111718,124745
"Agricultural machinery, tractors per 100 sq. km of arable land",,,,,,,,,,,,,,,,
Urban land area (sq. km),2467.779053,,,,,,,,,,2467.779053,,,,,
Rural land area (sq. km),822303.125,,,,,,,,,,822303.125,,,,,
Land area (sq. km),823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290
Average precipitation in depth (mm per year),,,285,,,,,285,,,,,285,,285,
Agricultural irrigated land (% of total agricultural land),,,,,,,,,,,,,,,,
Forest area (% of land area),9.75597905962662,9.66585262141833,9.57572677629541,9.48560033808713,9.3954744929642,9.30534805475592,9.21522161654763,9.12509577142471,9.03496933321643,8.9448434880935,8.85471704988522,8.76459061167693,8.67446476655401,8.58433832834572,8.4942124832228,8.40408604501452
Forest area (sq. km),80320,79577.998046875,78836.0009765625,78093.9990234375,77352.001953125,76610,75867.998046875,75126.0009765625,74383.9990234375,73642.001953125,72900,72157.998046875,71416.0009765625,70673.9990234375,69932.001953125,69190
Land area where elevation is below 5 meters (% of total land area),0.195345682,,,,,,,,,,0.195345682,,,,,
"Unemployment, male (% of male labor force) (national estimate)",19.1000003814697,,,,19.3199996948242,,,,,,20.2999992370605,,14.6555995941162,17.3339996337891,16.7140998840332,
"Unemployment, female (% of female labor force) (modeled ILO estimate)",21.6809997558594,22.1089992523193,23.5419998168945,24.3980007171631,25.1509990692139,24.7700004577637,23.6660003662109,22.8649997711182,22.1259994506836,23.4300003051758,24.0160007476807,21.8150005340576,18.9909992218018,20.6959991455078,20.3719997406006,22.7369995117188
"Unemployment, female (% of female labor force) (national estimate)",21.6000003814697,,,,24.9899997711182,,,,,,24,,18.9736995697021,20.6594009399414,20.3764991760254,
"Share of youth not in education, employment or training, total (% of youth population)",,,,,,,,,,,,,31.1499996185303,32.0070991516113,30.4713001251221,
"Share of youth not in education, employment or training, male (% of male youth population)",,,,,,,,,,,,,26.9873008728027,27.2131996154785,27.8104991912842,
"Share of youth not in education, employment or training, female (% of female youth population)",,,,,,,,,,,,,35.1553001403809,36.4986000061035,33.0499992370605,
Unemployment with intermediate education (% of total labor force with intermediate education),,,,,,,,,,,,,,10.2124004364014,4.81759977340698,
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",,,,,,,,,,,,,,,,
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",,,,,,,,,,,,,,16.2299995422363,,
Unemployment with basic education (% of total labor force with basic education),,,,,,,,,,,,,20.0869998931885,23.0349998474121,22.3677005767822,
"Unemployment with basic education, male (% of male labor force with basic education)",,,,,,,,,,,,,17.1030006408691,20.5946998596191,20.3001003265381,
"Unemployment with basic education, female (% of female labor force with basic education)",,,,,,,,,,,,,22.9370002746582,25.2271003723145,24.3397006988525,
Unemployment with advanced education (% of total labor force with advanced education),,,,,,,,,,,,,3.67179989814758,5.49280023574829,5.69490003585815,
"Unemployment with advanced education, male (% of male labor force with advanced education)",,,,,,,,,,,,,4.5967001914978,5.73899984359741,4.00339984893799,
"Unemployment with advanced education, female (% of female labor force with advanced education)",,,,,,,,,,,,,2.57109999656677,5.25080013275146,7.23810005187988,
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",39.9690017700195,40.310001373291,41.8330001831055,42.9910011291504,43.3940010070801,43.3170013427734,41.9749984741211,40.9939994812012,40.0530014038086,43.0620002746582,43.7949981689453,39.4970016479492,34.1829986572266,40.7270011901855,38.6749992370605,41.265998840332
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",,,,,41.7000007629395,,,,,,,,34.3629989624023,41.4370994567871,38.9816017150879,
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",37.1220016479492,36.939998626709,37.6290016174316,38.0929985046387,37.8800010681152,37.8460006713867,36.8779983520508,36.1510009765625,35.4099998474121,38.4850006103516,39.0499992370605,34.5229988098145,29.3430004119873,36.1150016784668,35.201000213623,36.0629997253418
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",,,,,36.7299995422363,,,,,,,,29.4771995544434,36.7335014343262,35.5592994689941,
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",43.3160018920898,44.2680015563965,46.757999420166,48.7150001525879,49.8279991149902,49.6959991455078,47.9140014648438,46.6370010375977,45.4710006713867,48.4169998168945,49.367000579834,45.3740005493164,39.943000793457,45.7550010681152,42.5699996948242,47.1980018615723
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",,,,,47.0699996948242,,,,,,,,40.0611991882324,46.2272987365723,42.7612991333008,
"Labor force, total",586985,603702,620459,637367,654353,671395,690351,708508,726407,744824,764105,782723,803135,859453,874027,884369
"Labor force, female (% of total labor force)",45.8880550610322,46.1270626898702,46.3700260613514,46.6177257372911,46.8705729170646,47.1276968103724,47.353882300453,47.5829489575276,47.8134158949459,48.0432961343888,48.269544107158,48.4847129827538,48.6885766402909,50.0453195229989,49.5767293230072,48.9432578482511
"Part time employment, total (% of total employment)",,,,,,,,,,,,,33.7999992370605,33.1599998474121,19,
"Part time employment, male (% of total male employment)",,,,,,,,,,,,,27.2000007629395,24.25,16.0200004577637,
"Part time employment, female (% of total female employment)",,,,,,,,,,,,,41.0400009155273,42.0999984741211,22.2099990844727,
Labor force with intermediate education (% of total working-age population with intermediate education),,,,,,,,,,,,,57.7210006713867,54.7014999389648,65.1165008544922,
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",,,,,,,,,,,,,57.6594009399414,49.6721000671387,64.7617034912109,
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",,,,,,,,,,,,,57.7625007629395,59.3884010314941,65.2978973388672,
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",56.4160003662109,56.6730003356934,56.8699989318848,57.0139999389648,57.117000579834,57.193000793457,57.2910003662109,57.3600006103516,57.4199981689453,57.5,57.6199989318848,57.9129981994629,58.2550010681152,61.1040000915527,60.9519996643066,60.548999786377
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",54.1300010681152,54.4300003051758,,,48.0400009155273,,,,55.4000015258789,,,,57.5334014892578,61.7011985778809,60.8250999450684,
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",64.4899978637695,64.5039978027344,64.443000793457,64.3119964599609,64.1240005493164,63.8969993591309,63.7130012512207,63.492000579834,63.257999420166,63.0429992675781,62.8709983825684,62.9039993286133,62.9980010986328,64.3050003051758,64.7149963378906,65.0619964599609
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",62.0900001525879,60.0699996948242,,,56.4500007629395,,,,61.5999984741211,,,,62.4850006103516,65.2292022705078,64.807502746582,
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),75.850522540786,76.6169588208549,77.4079391968885,78.2280198759073,79.0764772909392,79.9474156003371,80.7621682721349,81.589808055697,82.4275171029093,83.2717387463313,84.1150931770669,84.899210462449,85.6582753581872,90.5046280010228,88.895932294027,86.7403468137057
Ratio of female to male labor force participation rate (%) (national estimate),76.5501669552112,82.1208624632391,,,72.2763484245096,,,,81.0064979901623,,,,85.0562525137259,89.9089642914706,88.2822181874304,
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",48.9160003662109,49.4210014343262,49.8839988708496,50.310001373291,50.7070007324219,51.0839996337891,51.4560012817383,51.8030014038086,52.1419982910156,52.4970016479492,52.8839988708496,53.4049987792969,53.9630012512207,58.1990013122559,57.5289993286133,56.435001373291
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",47.5299987792969,49.3300018310547,,,40.7999992370605,,,,49.9000015258789,,,,53.1473999023438,58.646900177002,57.2135009765625,
Labor force with basic education (% of total working-age population with basic education),,,,,,,,,,,,,58.2727012634277,62.7765998840332,61.2328987121582,
"Labor force with basic education, male (% of male working-age population with basic education)",,,,,,,,,,,,,62.1203002929688,65.684196472168,64.9691009521484,
"Labor force with basic education, female (% of female working-age population with basic education)",,,,,,,,,,,,,55.0181007385254,60.3757019042969,58.048900604248,
Labor force with advanced education (% of total working-age population with advanced education),,,,,,,,,,,,,87.7397994995117,86.5943984985352,85.7154998779297,
"Labor force with advanced education, male (% of male working-age population with advanced education)",,,,,,,,,,,,,90.4077987670898,87.8668975830078,85.8162002563477,
"Labor force with advanced education, female (% of female working-age population with advanced education)",,,,,,,,,,,,,84.7626037597656,85.3789978027344,85.6239013671875,
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",57.8050003051758,58.0719985961914,58.2709999084473,58.4109992980957,58.5060005187988,58.5690002441406,58.6689987182617,58.7360000610352,58.7929992675781,58.867000579834,58.9819984436035,59.2820014953613,59.6339988708496,62.2980003356934,62.4459991455078,62.3019981384277
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",65.7710037231445,65.7770004272461,65.6999969482422,65.5449981689453,65.3259963989258,65.0619964599609,64.8619995117188,64.620002746582,64.359001159668,64.1169967651367,63.9169998168945,63.9379997253418,64.0220031738281,65.2699966430664,66.0830001831055,66.5009994506836
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",50.3040008544922,50.8380012512207,51.3230018615723,51.765998840332,52.1769981384277,52.5660018920898,52.9589996337891,53.326000213623,53.6829986572266,54.0550003051758,54.4609985351563,55.0089988708496,55.5970001220703,59.556999206543,59.0800018310547,58.4049987792969
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",30.9130001068115,30.8470001220703,30.7169990539551,30.5559997558594,30.4160003662109,30.3320007324219,30.2980003356934,30.30299949646,30.3540000915527,30.4570007324219,30.6180000305176,30.878999710083,31.193000793457,33.0460014343262,32.5660018920898,34.1389999389648
"Labor force participation rate for ages 15-24, total (%) (national estimate)",29.6700000762939,41.6699981689453,,,30.6599998474121,,,,36.4000015258789,,,,31.1135997772217,34.2398986816406,32.6539993286133,
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",33.5849990844727,33.5519981384277,33.4410018920898,33.2859992980957,33.148998260498,33.0719985961914,33.0660018920898,33.101001739502,33.1839981079102,33.3240013122559,33.5270004272461,33.8629989624023,34.2630004882813,34.7830009460449,34.6910018920898,36.6160011291504
"Labor force participation rate for ages 15-24, male (%) (national estimate)",31.7099990844727,43.3300018310547,,,33.3600006103516,,,,38.5,,,,34.1603012084961,35.7153015136719,34.8200988769531,
